Genome,SRA ID,PATRIC ID,Antibiotic,Actual MIC,Predicted MIC
KPN123,SRR5386858,573.13220,Ceftriaxone,>32,64.0
KPN123,SRR5386858,573.13220,Cefuroxime sodium,>16,32.0
KPN123,SRR5386858,573.13220,Levofloxacin,>4,8.0
KPN124,SRR5386458,573.13230,Gentamicin,<=2,4.0
KPN124,SRR5386458,573.13230,Imipenem,<=1,1.0
KPN124,SRR5386458,573.13230,Trimethoprim/Sulfamethoxazole,>2/38,4.0
KPN125,SRR5386457,573.13238,Amikacin,32,32.0
KPN125,SRR5386457,573.13238,Ampicillin/Sulbactam,>16/8,32.0
KPN125,SRR5386457,573.13238,Ciprofloxacin,>2,4.0
KPN126,SRR5386456,573.13248,Ampicillin,>16,32.0
KPN126,SRR5386456,573.13248,Ceftazidime,>16,32.0
KPN126,SRR5386456,573.13248,Nitrofurantoin,>64,128.0
KPN126,SRR5386456,573.13248,Tobramycin,8,8.0
KPN128,SRR5386454,573.13266,Piperacillin/Tazobactam,>64/4,32.0
KPN130,SRR5386452,573.13274,Cefazolin,>16,32.0
KPN130,SRR5386452,573.13274,Cefoxitin,>16,16.0
KPN130,SRR5386452,573.13274,Imipenem,8,8.0
KPN133,SRR5386449,573.13300,Cefepime,>16,16.0
KPN133,SRR5386449,573.13300,Meropenem,<=1,1.0
KPN134,SRR5386448,573.13310,Aztreonam,>16,16.0
KPN134,SRR5386448,573.13310,Ceftriaxone,>32,64.0
KPN134,SRR5386448,573.13310,Cefuroxime sodium,>16,32.0
KPN134,SRR5386448,573.13310,Levofloxacin,>4,8.0
KPN140,SRR5386442,573.13353,Amikacin,16,16.0
KPN140,SRR5386442,573.13353,Ampicillin/Sulbactam,>16/8,32.0
KPN140,SRR5386442,573.13353,Ciprofloxacin,>2,4.0
KPN141,SRR5386441,573.13361,Ampicillin,>16,32.0
KPN141,SRR5386441,573.13361,Ceftazidime,>16,32.0
KPN142,SRR5386440,573.13371,Amikacin,<=8,8.0
KPN143,SRR5386439,573.13381,Gentamicin,>8,16.0
